"cou","countryUNen","countryUNfr","codeUN"
"THA","Thailand","Thaïlande","764"
"TJK","Tajikistan","Tadjikistan","762"
"TKL","Tokelau","Tokélaou","772"
"TKM","Turkmenistan","Turkménistan","795"
"TLS","Timor-Leste","Timor-Leste","626"
"TON","Tonga","Tonga","776"
"TTO","Trinidad and Tobago","Trinité-et-Tobago","780"
"TUN","Tunisia","Tunisie","788"
"TUR","Turkey","Turquie","792"
"TUV","Tuvalu","Tuvalu","798"
"TZA","United Republic of Tanzania","République-Unie de Tanzanie","834"
"UGA","Uganda","Ouganda","800"
"UKR","Ukraine","Ukraine","804"
"URY","Uruguay","Uruguay","858"
"USA","United States of America","États-Unis d'Amérique","840"
"UZB","Uzbekistan","Ouzbékistan","860"
"VAT","Holy See","Saint-Siège","336"
"VCT","Saint Vincent and the Grenadines","Saint-Vincent-et-les Grenadines","670"
"VEN","Venezuela (Bolivarian Republic of)","Venezuela (République bolivarienne du)","862"
"VGB","British Virgin Islands","Îles Vierges britanniques","092"
"VIR","United States Virgin Islands","Îles Vierges américaines","850"
"VNM","Viet Nam","Viet Nam","704"
"VUT","Vanuatu","Vanuatu","548"
"WLF","Wallis and Futuna Islands","Îles Wallis et Futuna","876"
"WSM","Samoa","Samoa","882"
"YEM","Yemen","Yémen","887"
"ZAF","South Africa","Afrique du Sud","710"
"ZMB","Zambia","Zambie","894"
"ZWE","Zimbabwe","Zimbabwe","716"
